bpm,source,timestamp
55,awake,2024-04-21T12:44:48+00:00
49,awake,2024-04-21T12:45:42+00:00
51,awake,2024-04-21T12:46:03+00:00
129,awake,2024-04-21T13:05:29+00:00
112,awake,2024-04-21T13:05:39+00:00
105,awake,2024-04-21T13:05:40+00:00
68,awake,2024-04-21T13:24:59+00:00
66,awake,2024-04-21T13:26:03+00:00
64,awake,2024-04-21T13:26:12+00:00
61,awake,2024-04-21T14:25:34+00:00
63,awake,2024-04-21T14:25:42+00:00
66,awake,2024-04-21T14:26:20+00:00
57,awake,2024-04-21T14:30:21+00:00
61,awake,2024-04-21T14:30:52+00:00
66,awake,2024-04-21T14:31:38+00:00
64,awake,2024-04-21T14:36:55+00:00
58,awake,2024-04-21T14:37:01+00:00
62,awake,2024-04-21T14:37:08+00:00
56,awake,2024-04-21T14:42:40+00:00
62,awake,2024-04-21T14:42:42+00:00
60,awake,2024-04-21T14:43:13+00:00
55,awake,2024-04-21T14:55:27+00:00
53,awake,2024-04-21T14:55:34+00:00
57,awake,2024-04-21T14:55:41+00:00
54,awake,2024-04-21T15:05:18+00:00
60,awake,2024-04-21T15:05:19+00:00
57,awake,2024-04-21T15:05:20+00:00
61,awake,2024-04-21T15:18:24+00:00
64,awake,2024-04-21T15:18:28+00:00
59,awake,2024-04-21T15:18:29+00:00
56,awake,2024-04-21T16:01:14+00:00
59,awake,2024-04-21T16:01:15+00:00
61,awake,2024-04-21T16:01:18+00:00
56,awake,2024-04-21T16:07:14+00:00
57,awake,2024-04-21T16:07:42+00:00
61,awake,2024-04-21T16:07:49+00:00
56,awake,2024-04-21T16:33:11+00:00
57,awake,2024-04-21T16:33:13+00:00
55,awake,2024-04-21T16:33:16+00:00
75,awake,2024-04-21T17:32:53+00:00
62,awake,2024-04-21T17:33:39+00:00
69,awake,2024-04-21T17:33:41+00:00
60,awake,2024-04-21T17:39:32+00:00
53,awake,2024-04-21T17:39:43+00:00
56,awake,2024-04-21T17:39:53+00:00
60,awake,2024-04-21T17:42:52+00:00
56,awake,2024-04-21T17:43:13+00:00
66,awake,2024-04-21T17:43:18+00:00
66,awake,2024-04-21T18:13:52+00:00
70,awake,2024-04-21T18:13:53+00:00
73,awake,2024-04-21T18:14:00+00:00
71,awake,2024-04-21T18:16:04+00:00
68,awake,2024-04-21T18:16:17+00:00
75,awake,2024-04-21T18:17:21+00:00
70,awake,2024-04-21T18:21:40+00:00
68,awake,2024-04-21T18:22:15+00:00
73,awake,2024-04-21T18:22:45+00:00
63,awake,2024-04-21T18:26:23+00:00
66,awake,2024-04-21T18:27:17+00:00
71,awake,2024-04-21T18:27:25+00:00
67,awake,2024-04-21T18:31:52+00:00
71,awake,2024-04-21T18:32:17+00:00
65,awake,2024-04-21T18:32:40+00:00
76,awake,2024-04-21T18:58:43+00:00
74,awake,2024-04-21T18:58:49+00:00
52,awake,2024-04-21T19:10:33+00:00
56,awake,2024-04-21T19:10:34+00:00
51,awake,2024-04-21T19:10:36+00:00
61,awake,2024-04-21T19:13:20+00:00
51,awake,2024-04-21T19:13:23+00:00
56,awake,2024-04-21T19:13:46+00:00
53,awake,2024-04-21T19:15:24+00:00
50,awake,2024-04-21T19:15:25+00:00
55,awake,2024-04-21T19:15:46+00:00
56,awake,2024-04-21T19:26:25+00:00
53,awake,2024-04-21T19:26:41+00:00
59,awake,2024-04-21T19:26:43+00:00
57,awake,2024-04-21T19:28:52+00:00
65,awake,2024-04-21T19:28:53+00:00
62,awake,2024-04-21T19:29:03+00:00
55,awake,2024-04-21T19:30:36+00:00
50,awake,2024-04-21T19:30:37+00:00
53,awake,2024-04-21T19:31:41+00:00
53,awake,2024-04-21T19:36:06+00:00
52,awake,2024-04-21T19:36:07+00:00
57,awake,2024-04-21T19:36:08+00:00
53,awake,2024-04-21T19:38:11+00:00
56,awake,2024-04-21T19:38:24+00:00
50,awake,2024-04-21T19:39:04+00:00
50,awake,2024-04-21T19:43:45+00:00
53,awake,2024-04-21T19:44:12+00:00
57,awake,2024-04-21T19:44:40+00:00
51,awake,2024-04-21T19:53:17+00:00
56,awake,2024-04-21T19:53:20+00:00
53,awake,2024-04-21T19:53:35+00:00
57,awake,2024-04-21T20:03:24+00:00
56,awake,2024-04-21T20:03:43+00:00
64,awake,2024-04-21T20:03:48+00:00
56,awake,2024-04-21T20:11:37+00:00
53,awake,2024-04-21T20:11:45+00:00
51,awake,2024-04-21T20:11:47+00:00
53,awake,2024-04-21T20:13:54+00:00
48,awake,2024-04-21T20:13:56+00:00
53,awake,2024-04-21T20:13:59+00:00
64,awake,2024-04-21T20:21:50+00:00
55,awake,2024-04-21T20:21:57+00:00
52,awake,2024-04-21T20:22:40+00:00
52,awake,2024-04-21T20:42:43+00:00
53,awake,2024-04-21T20:43:04+00:00
49,awake,2024-04-21T20:43:07+00:00
51,awake,2024-04-21T20:47:16+00:00
59,awake,2024-04-21T20:47:17+00:00
56,awake,2024-04-21T20:47:28+00:00
55,awake,2024-04-21T20:52:03+00:00
50,awake,2024-04-21T20:52:10+00:00
49,awake,2024-04-21T20:52:13+00:00
52,awake,2024-04-21T20:54:52+00:00
49,awake,2024-04-21T20:55:14+00:00
48,awake,2024-04-21T20:55:16+00:00
58,awake,2024-04-21T21:02:19+00:00
54,awake,2024-04-21T21:02:20+00:00
53,awake,2024-04-21T21:02:21+00:00
49,awake,2024-04-21T21:16:43+00:00
51,awake,2024-04-21T21:16:45+00:00
48,awake,2024-04-21T21:16:46+00:00
51,awake,2024-04-21T21:21:24+00:00
56,awake,2024-04-21T21:21:39+00:00
53,awake,2024-04-21T21:21:40+00:00
65,awake,2024-04-21T23:33:45+00:00
59,awake,2024-04-21T23:33:52+00:00
59,awake,2024-04-21T23:33:58+00:00
74,awake,2024-04-21T23:47:30+00:00
70,awake,2024-04-21T23:47:32+00:00
76,awake,2024-04-21T23:48:10+00:00
75,awake,2024-04-21T23:50:08+00:00
77,awake,2024-04-21T23:50:09+00:00
80,awake,2024-04-21T23:50:15+00:00
65,awake,2024-04-22T00:01:47+00:00
52,awake,2024-04-22T00:02:07+00:00
57,awake,2024-04-22T00:02:14+00:00
57,awake,2024-04-22T00:04:23+00:00
60,awake,2024-04-22T00:05:02+00:00
54,awake,2024-04-22T00:05:25+00:00
56,awake,2024-04-22T00:09:15+00:00
59,awake,2024-04-22T00:09:35+00:00
52,awake,2024-04-22T00:10:44+00:00
53,awake,2024-04-22T00:14:55+00:00
60,awake,2024-04-22T00:15:07+00:00
57,awake,2024-04-22T00:15:23+00:00
66,awake,2024-04-22T00:20:27+00:00
70,awake,2024-04-22T00:20:30+00:00
61,awake,2024-04-22T00:20:33+00:00
57,awake,2024-04-22T00:27:29+00:00
55,awake,2024-04-22T00:27:46+00:00
52,awake,2024-04-22T00:28:04+00:00
54,awake,2024-04-22T00:37:13+00:00
51,awake,2024-04-22T00:37:34+00:00
58,awake,2024-04-22T00:37:36+00:00
57,awake,2024-04-22T00:39:48+00:00
53,awake,2024-04-22T00:39:52+00:00
60,awake,2024-04-22T00:40:58+00:00
51,awake,2024-04-22T00:55:08+00:00
55,awake,2024-04-22T00:55:15+00:00
57,awake,2024-04-22T00:55:53+00:00
57,awake,2024-04-22T01:04:36+00:00
52,awake,2024-04-22T01:04:39+00:00
58,awake,2024-04-22T01:04:46+00:00
55,awake,2024-04-22T01:11:58+00:00
63,awake,2024-04-22T01:12:33+00:00
59,awake,2024-04-22T01:12:34+00:00
71,awake,2024-04-22T01:14:16+00:00
64,awake,2024-04-22T01:14:53+00:00
73,awake,2024-04-22T01:14:56+00:00
60,awake,2024-04-22T01:16:31+00:00
53,awake,2024-04-22T01:16:35+00:00
56,awake,2024-04-22T01:16:37+00:00
72,awake,2024-04-22T01:23:47+00:00
75,awake,2024-04-22T01:23:49+00:00
60,awake,2024-04-22T01:24:01+00:00
56,awake,2024-04-22T01:25:37+00:00
56,awake,2024-04-22T01:25:39+00:00
61,awake,2024-04-22T01:25:53+00:00
53,awake,2024-04-22T01:30:47+00:00
55,awake,2024-04-22T01:31:48+00:00
51,awake,2024-04-22T01:31:50+00:00
49,awake,2024-04-22T01:36:26+00:00
52,awake,2024-04-22T01:37:19+00:00
54,awake,2024-04-22T01:37:20+00:00
51,awake,2024-04-22T01:41:23+00:00
55,awake,2024-04-22T01:41:24+00:00
81,awake,2024-04-22T01:41:53+00:00
58,awake,2024-04-22T01:43:48+00:00
52,awake,2024-04-22T01:43:50+00:00
57,awake,2024-04-22T01:43:51+00:00
55,awake,2024-04-22T01:48:54+00:00
51,awake,2024-04-22T01:49:15+00:00
59,awake,2024-04-22T01:50:03+00:00
55,awake,2024-04-22T01:54:03+00:00
48,awake,2024-04-22T01:54:19+00:00
52,awake,2024-04-22T01:54:20+00:00
65,awake,2024-04-22T02:02:21+00:00
56,awake,2024-04-22T02:02:29+00:00
52,awake,2024-04-22T02:02:33+00:00
54,awake,2024-04-22T02:20:54+00:00
49,awake,2024-04-22T02:21:04+00:00
52,awake,2024-04-22T02:21:13+00:00
48,rest,2024-04-22T02:23:33+00:00
45,rest,2024-04-22T02:41:47+00:00
45,rest,2024-04-22T02:46:47+00:00
46,rest,2024-04-22T02:51:47+00:00
47,rest,2024-04-22T02:56:47+00:00
46,rest,2024-04-22T03:01:47+00:00
47,rest,2024-04-22T03:06:47+00:00
47,rest,2024-04-22T03:11:47+00:00
47,rest,2024-04-22T03:16:47+00:00
47,rest,2024-04-22T03:21:47+00:00
48,rest,2024-04-22T03:26:47+00:00
47,rest,2024-04-22T03:31:47+00:00
47,rest,2024-04-22T03:36:47+00:00
48,rest,2024-04-22T03:41:47+00:00
51,rest,2024-04-22T03:46:47+00:00
49,rest,2024-04-22T03:51:47+00:00
48,rest,2024-04-22T03:56:47+00:00
46,rest,2024-04-22T04:01:47+00:00
46,rest,2024-04-22T04:06:47+00:00
45,rest,2024-04-22T04:11:47+00:00
45,rest,2024-04-22T04:16:47+00:00
46,rest,2024-04-22T04:21:47+00:00
45,rest,2024-04-22T04:26:47+00:00
46,rest,2024-04-22T04:31:47+00:00
45,rest,2024-04-22T04:36:47+00:00
44,rest,2024-04-22T04:41:47+00:00
41,rest,2024-04-22T04:46:47+00:00
42,rest,2024-04-22T04:51:47+00:00
41,rest,2024-04-22T04:56:47+00:00
42,rest,2024-04-22T05:01:47+00:00
43,rest,2024-04-22T05:06:47+00:00
47,rest,2024-04-22T05:16:47+00:00
49,rest,2024-04-22T05:21:47+00:00
51,rest,2024-04-22T05:26:47+00:00
48,rest,2024-04-22T05:31:47+00:00
50,rest,2024-04-22T05:36:47+00:00
49,rest,2024-04-22T05:41:47+00:00
50,rest,2024-04-22T05:46:47+00:00
47,rest,2024-04-22T05:51:47+00:00
43,rest,2024-04-22T05:56:47+00:00
44,rest,2024-04-22T06:01:47+00:00
44,rest,2024-04-22T06:06:47+00:00
44,rest,2024-04-22T06:11:47+00:00
42,rest,2024-04-22T06:16:47+00:00
43,rest,2024-04-22T06:21:47+00:00
44,rest,2024-04-22T06:26:47+00:00
44,rest,2024-04-22T06:31:47+00:00
43,rest,2024-04-22T06:36:47+00:00
44,rest,2024-04-22T06:41:47+00:00
44,rest,2024-04-22T06:46:47+00:00
44,rest,2024-04-22T06:51:47+00:00
42,rest,2024-04-22T06:56:47+00:00
42,rest,2024-04-22T07:01:47+00:00
41,rest,2024-04-22T07:06:47+00:00
42,rest,2024-04-22T07:11:47+00:00
43,rest,2024-04-22T07:21:47+00:00
43,rest,2024-04-22T07:26:47+00:00
42,rest,2024-04-22T07:31:47+00:00
43,rest,2024-04-22T07:36:47+00:00
49,rest,2024-04-22T07:51:47+00:00
45,rest,2024-04-22T07:56:47+00:00
46,rest,2024-04-22T08:01:47+00:00
48,rest,2024-04-22T08:21:47+00:00
45,rest,2024-04-22T08:26:47+00:00
43,rest,2024-04-22T08:31:47+00:00
44,rest,2024-04-22T08:36:47+00:00
43,rest,2024-04-22T08:41:47+00:00
43,rest,2024-04-22T08:46:47+00:00
44,rest,2024-04-22T08:51:47+00:00
45,rest,2024-04-22T08:56:47+00:00
45,rest,2024-04-22T09:01:47+00:00
44,rest,2024-04-22T09:26:47+00:00
42,rest,2024-04-22T09:31:47+00:00
41,rest,2024-04-22T09:41:34+00:00
45,rest,2024-04-22T09:51:34+00:00
